Topic,Definition
Doctrine of Scripture,"The Doctrine of Scripture in orthodox Protestant theology asserts that the Bible, consisting of the Old and New Testaments, is the inspired Word of God and the final authority in all matters of faith and practice. Inspiration is understood as the process by which God, through the Holy Spirit, guided the human authors of the Bible, ensuring that they accurately and reliably recorded His intended message. This does not mean that the authors were mere dictation machines; rather, their unique personalities, styles, and cultural contexts were sovereignly and providentially used by God in the composition of the Scriptures.

The Protestant view upholds the inerrancy of Scripture, meaning that the Bible is without error in its original manuscripts in all that it affirms, whether in matters of history, theology, or moral teaching. Inerrancy stems from the doctrine of God's truthfulness and inability to lie. Consequently, Scripture is considered trustworthy and reliable. Additionally, the sufficiency of Scripture is emphasized, asserting that the Bible contains all knowledge necessary for salvation and godly living. While there may be other sources of truth and knowledge about the world, Scripture is uniquely authoritative and sufficient for knowing God and His will.

Furthermore, the clarity of Scripture is affirmed, suggesting that the Bible is written in such a way that its teachings are accessible and understandable to all who read it seeking God’s help and being willing to follow its teachings. This does not mean that all parts of the Bible are equally clear or that there is no need for thoughtful interpretation, but that the central message of the Bible about salvation and godly living is clear.

Finally, the necessity of Scripture implies that the Bible is essential for knowing the Gospel, maintaining spiritual life, and knowing God's will. Without it, humanity cannot know God savingly. This underscores the importance of Scripture in the life of the believer and the church, guiding, teaching, and correcting them in their faith journey."
Trinity,"The Doctrine of the Trinity is central to orthodox Protestant theology, affirming that there is one God in three persons: Father, Son, and Holy Spirit. This doctrine maintains that while there is only one divine essence (ousia), this single divine nature exists eternally and fully in three distinct persons (hypostases). The Father, the Son, and the Holy Spirit are coequal, coeternal, and consubstantial, meaning they share the same divine nature and attributes; yet, they are distinct in their personhood.

The Father is neither begotten nor proceeding; He is the source and origin of the Trinity. The Son, Jesus Christ, is eternally begotten of the Father, not made or created, which means that He is God from God, Light from Light, true God from true God. The Holy Spirit proceeds from the Father and the Son, not as a created being, but as one who shares the same divine essence.

This triune nature of God is a mystery beyond the full comprehension of human reason, yet it is clearly revealed in Scripture. The New Testament, in particular, reveals the deity and personhood of each member of the Trinity. The Father is God (1 Corinthians 8:6), Jesus Christ is recognized as God (John 1:1,14; Colossians 2:9), and the Holy Spirit is also affirmed as God (Acts 5:3-4).

Each person of the Trinity is involved in the works of creation, redemption, and sanctification. However, there is an economic subordination within the Trinity regarding the roles and missions of the divine persons. For instance, the Father sends the Son, and the Father and the Son send the Holy Spirit. This does not imply inequality in their essence or deity but reflects their relational distinctions and roles within the Godhead."
Divine Attribues,"Divine Attributes in orthodox Protestant theology refer to the inherent characteristics of God that define His nature and being. These attributes are intrinsic to God’s essence and help believers understand who God is and how He relates to the world. Among the key attributes are:

Omnipotence: God is all-powerful. He has the ability to do anything that is in harmony with His nature and character. This power is seen in creation, providence, and redemption.

Omniscience: God is all-knowing. He possesses complete knowledge of all things, past, present, and future, including all potential occurrences. This knowledge is perfect, exhaustive, and not acquired but inherent in His being.

Omnipresence: God is present everywhere at all times. While God transcends space and is not limited by physical constraints, His presence is real and active in every part of creation.

Eternality: God is eternal, existing outside of time. He has no beginning and no end, and time itself is a creation of God.

Immutability: God is unchanging in His being, purposes, and promises. While God interacts with humanity in time, His nature and character remain constant.

Holiness: God is absolutely pure and morally perfect. His holiness is unique, setting Him apart from all creation. It is the standard for moral excellence and righteousness.

Righteousness and Justice: God is perfectly righteous and just. He always acts in accordance with what is right and is Himself the final standard of what is right.

Love: God is love. This love is self-giving, sacrificial, and unconditional, most clearly demonstrated in the sending of His Son, Jesus Christ, for the salvation of humanity.

Sovereignty: God possesses supreme authority and power over all creation. He rules and governs the universe, orchestrating all events to fulfill His purposes.

These attributes, while distinct, are interrelated and cannot be fully comprehended by the human mind. They provide a framework for understanding God's interaction with His creation and His plans for redemption."
Anthropology,"In orthodox Protestant theology, Anthropology refers to the doctrine concerning the nature and destiny of human beings. It begins with the belief that humans are created in the image of God (Imago Dei), which bestows unique value, dignity, and purpose. This image includes moral, spiritual, rational, and relational aspects, enabling humans to reflect God’s character, to reason, to relate to God and others, and to exercise dominion over creation.

However, this image has been marred by sin. The fall of Adam and Eve, as described in Genesis, led to a state of sin and moral corruption for all humanity (Original Sin). This depravity is total in the sense that it affects all aspects of a person’s being - mind, will, and emotions - and it leads to spiritual death. While humans still retain the image of God, their moral and spiritual faculties are deeply flawed.

As a result of the fall, every person is born in sin and is by nature separated from God. This separation manifests in actual sins, which are specific acts of disobedience against God's law and character. The consequence of sin is not only physical death but also spiritual death, which is eternal separation from God.

Protestant anthropology emphasizes the need for divine grace for any human to be restored to a right relationship with God. It also maintains the future hope of resurrection and glorification, where believers will be made perfect in Christ and restored to their intended state."
Hamartiology,"Hamartiology in orthodox Protestant theology is the study of sin. It begins with the understanding that sin is any lack of conformity to, or transgression of, the law of God. This includes thoughts, actions, and innate moral corruption. Sin originated with the rebellion of Satan, and entered the human experience through the disobedience of Adam and Eve in the Garden of Eden, an event often referred to as the Fall.

This original sin resulted in the corruption of human nature, rendering all people inherently sinful and morally incapable of pleasing God in their natural state. This doctrine of total depravity asserts that every aspect of human nature is tainted by sin, affecting thoughts, emotions, and will.

Sin separates humans from God, who is holy, and incurs His righteous wrath. It not only has personal consequences but also cosmic ones, affecting the whole of creation. The universality of sin means that it affects all people without exception, and all are in need of redemption.

In this theological framework, sin is not merely a moral failing but a condition that necessitates divine intervention for restoration. The solution to sin is found in the redemptive work of Jesus Christ, who, through His death and resurrection, offers forgiveness and the restoration of the relationship between God and humans."
Christology,"Christology in orthodox Protestant theology is the study of the person and work of Jesus Christ. Central to this doctrine is the affirmation of Jesus Christ as both fully God and fully human. As the second person of the Trinity, Christ has always existed eternally with the Father and the Holy Spirit. In the incarnation, the Son of God took on human nature, being conceived by the Holy Spirit and born of the Virgin Mary. This hypostatic union means that in the one person of Jesus Christ, there are two natures, divine and human, united without confusion, change, division, or separation.

As fully God, Christ possesses all divine attributes; He is omnipotent, omniscient, omnipresent, eternal, and immutable. As fully human, He experienced human emotions, growth, and limitations, yet without sin. This sinless life was crucial for His role as the perfect sacrifice for humanity’s sins.

The work of Christ includes His life, death, resurrection, ascension, and future return. His death on the cross is central, where He atoned for the sins of humanity, satisfying God’s justice and demonstrating His love. This atonement is understood in various ways, commonly as a substitutionary atonement, where Christ died in the place of sinners, bearing the punishment due for sins.

The resurrection of Christ is essential in Christology, affirming His victory over sin and death, and confirming His divine nature. The ascension signifies His exaltation and ongoing priestly ministry in heaven. Christology also encompasses the return of Christ, anticipating His coming in glory to judge the living and the dead.

In summary, Christology in orthodox Protestant thought affirms the full deity and full humanity of Jesus Christ, His sinless life, atoning death, bodily resurrection, ascension, and future return, all of which are foundational to Christian faith and practice."
Justification,"Justification in orthodox Protestant theology is the divine act whereby God declares a sinner to be righteous on the basis of the righteousness of Jesus Christ. This righteousness is imputed to believers, not on the basis of their own works or merits, but solely through faith in Christ. Justification is often described as a legal or forensic act, in which God pardons sinners and accepts them as righteous in His sight.

This doctrine is grounded in the understanding of Christ’s atoning work. Jesus, through His life, death, and resurrection, fulfilled the law and bore the penalty for sin. By faith in Him, His righteousness is accounted to believers as if it were their own. This imputation involves both the forgiveness of sin (negative aspect) and the granting of Christ’s righteousness (positive aspect).

Justification is by faith alone (sola fide), apart from works of the law. This principle was a cornerstone of the Protestant Reformation, emphasizing that human efforts or merits cannot contribute to one's justification. It is a gift of grace through faith in Christ, ensuring that no person can boast in their salvation.

Once justified, the believer is assured of their salvation and peace with God. This assurance, however, does not lead to moral laxity but to a life of gratitude and good works, which are the fruits of justification, not its basis. Justification is distinct from sanctification, though intimately connected to it, as both are aspects of the believer's union with Christ."
Sanctification,"Sanctification in orthodox Protestant theology is the process by which those who are justified are progressively made holy, conforming to the image of Christ. Unlike justification, which is a one-time forensic act, sanctification is an ongoing work of the Holy Spirit in the life of the believer.

This process involves both the mortification of sin (the dying to old sinful patterns of behavior) and vivification (the coming to life of new, godly virtues). Sanctification is not achieved through human effort alone but is the work of the Holy Spirit who indwells believers. However, Christians are called to cooperate with the Holy Spirit’s work through prayer, reading and meditating on Scripture, participating in church life, and practicing spiritual disciplines.

Sanctification affects all aspects of a person’s life, aiming towards complete holiness and Christlikeness. It is a gradual and lifelong process, marked by struggles and growth, and will only be completed at the glorification of the believer. While believers strive for moral improvement, complete perfection is not attainable in this life.

In sanctification, the reality of the believer’s new identity in Christ is progressively manifested in practical living. This doctrine upholds that true faith in Christ inevitably results in a transformed life, characterized by good works and godly living. However, these works are not the basis of salvation but rather the evidence of it.

Sanctification, thus, in Protestant theology, is both the privilege and responsibility of the Christian life, integral to the believer’s growth in grace and their witness to the world."
Glorification,"Glorification in orthodox Protestant theology is the final step in the salvation process, where believers attain the complete and eternal state of perfection that God intended. This event occurs at the end of time, involving both the resurrection of the body and the full realization of salvation in the life of the believer. Glorification is the culmination of justification and sanctification, where the believer is forever freed from sin, suffering, death, and is fully conformed to the image of Christ.

In glorification, believers will receive resurrected bodies, free from the limitations and frailties of the current physical state. These bodies are often described as imperishable, glorified, powerful, and spiritual, similar to the resurrected body of Jesus Christ. This physical transformation underscores the holistic redemption of the entire person, both soul and body.

The state of glorification is marked by unbroken fellowship with God, perfect knowledge, righteousness, and holiness. It involves eternal joy and worship in the presence of God, where believers will fully know and enjoy God forever. This final state is not achieved by human effort but is a gracious gift of God, secured through the work of Christ and applied by the Holy Spirit.

Glorification ensures the complete victory over sin and death, the final enemies of humanity, and the restoration of all creation to its intended glory. It presents the ultimate hope for believers, anchoring their present life in the promise of future glory."
New Heavens & New Earth,"The concept of the New Heavens and New Earth in orthodox Protestant theology is based on the biblical promise of a future, renewed creation where God will dwell with His people in a state of eternal righteousness, peace, and joy. This doctrine is primarily drawn from passages in Isaiah, 2 Peter, and Revelation, portraying the final state of redemption and restoration of all things.

In this renewed creation, the current heavens and earth, marred by sin and its effects, will be transformed or replaced by a new creation that is free from the curse of sin, suffering, decay, and death. This is not merely a spiritual reality but involves a physical and material renewal of the universe. The New Heavens and New Earth signify the full realization of God's kingdom, where His will is done perfectly as it is in heaven.

This future reality reflects the restoration of God's original creation intent, where humans and all created beings live in harmony with God, each other, and the rest of creation. It is characterized by the absence of sin, pain, sorrow, and death. The New Jerusalem, described in Revelation, symbolizes the center of this new creation, depicting the perfect dwelling place of God with His people.

The expectation of the New Heavens and New Earth gives believers a hope that transcends the present world's limitations and sufferings. It assures them of God's ultimate victory over evil and the fulfillment of His redemptive plan for the universe."
